branch_id,branch_name,region,manager_id,latitude,longitude,created_at
1,West Branch 1,Central,1,-56.981737824090516,100.68876009819695,2026-03-29T17:09:49.310880
2,South Branch 2,East,2,-72.00451515275948,-14.670398892287835,2026-01-09T17:09:49.310880
3,East Branch 3,Central,3,84.58377338915898,119.67935068815183,2025-06-29T17:09:49.310880
4,South Branch 4,West,4,-56.98718822638191,-70.47279253456642,2026-03-28T17:09:49.310880
5,Central Branch 5,West,5,-85.84876349254516,8.918877693020079,2025-10-31T17:09:49.310880
6,West Branch 6,West,6,-24.0548682071355,-15.814805681867057,2025-10-26T17:09:49.310880
7,East Branch 7,West,7,2.562198914450093,33.26924479033528,2025-12-09T17:09:49.310880
8,Central Branch 8,East,8,32.45535694580035,-17.820269290964518,2025-07-19T17:09:49.310880
9,West Branch 9,North,9,83.81376595342067,111.02304532192602,2025-07-28T17:09:49.310880
10,South Branch 10,Central,10,-48.43911138801318,-93.23083223063578,2025-07-29T17:09:49.310880
