customer_id,gender,age,income_level,occupation,financial_inclusion_score
CUST_000001,Other,49,High,Business,31.435598107632668
CUST_000002,F,54,High,Student,53.98410913016731
CUST_000003,M,53,Low,Self-Employed,69.47849330397045
CUST_000004,F,59,Low,Business,10.54942598302706
CUST_000005,F,28,Very High,Employee,12.208795470067335
CUST_000006,M,56,Medium,Business,27.213224938463533
CUST_000007,Other,74,Very High,Student,86.07305832563435
CUST_000008,Other,23,Very High,Self-Employed,41.7411003148779
CUST_000009,M,50,High,Employee,33.7615171403628
CUST_000010,Other,71,Very High,Business,40.383617105804085
CUST_000011,F,66,Medium,Farmer,24.68760628386012
CUST_000012,Other,19,High,Business,14.808692995339989
CUST_000013,M,66,Medium,Employee,41.10370133182313
CUST_000014,Other,54,Very High,Business,63.435134470136376
CUST_000015,F,19,Low,Farmer,44.77831645730917
CUST_000016,F,49,High,Farmer,8.085332633271525
CUST_000017,Other,34,High,Student,63.23058305935795
CUST_000018,F,39,High,Business,15.071754396542946
CUST_000019,Other,23,Very High,Student,85.83588048137199
CUST_000020,Other,53,High,Employee,51.2093058299281
CUST_000021,Other,37,Very High,Farmer,94.0523264489604
CUST_000022,Other,35,Very High,Business,67.56901170392807
CUST_000023,M,42,Medium,Employee,25.79416277151556
CUST_000024,F,65,Low,Farmer,52.965057835600646
CUST_000025,F,18,Very High,Farmer,55.82934536070976
CUST_000026,Other,72,Low,Business,34.92095746126609
CUST_000027,Other,37,Very High,Business,64.20316461542878
CUST_000028,Other,66,Very High,Farmer,89.85541885270793
CUST_000029,F,52,Very High,Business,66.35017691080559
CUST_000030,M,35,Very High,Employee,48.56137535862266
CUST_000031,Other,33,Low,Business,17.592525267734537
CUST_000032,M,31,Low,Farmer,36.64687845828599
CUST_000033,Other,20,Low,Business,54.25402305548993
CUST_000034,Other,68,Medium,Student,48.67421529594551
CUST_000035,Other,44,Medium,Student,50.26370931051921
CUST_000036,Other,50,Low,Farmer,72.24521152615053
CUST_000037,Other,21,High,Business,4.360377175443375
CUST_000038,F,46,Medium,Student,88.3494022266259
CUST_000039,M,54,Very High,Student,42.81841483173143
CUST_000040,M,48,High,Farmer,85.300945546736
CUST_000041,Other,38,Very High,Business,31.692200515627768
CUST_000042,F,42,Medium,Employee,93.00168348108319
CUST_000043,F,41,Medium,Employee,25.416364906973875
CUST_000044,F,19,Medium,Business,84.86697949246744
CUST_000045,M,60,Medium,Student,29.651014364779847
CUST_000046,F,52,Medium,Business,61.15137108656805
CUST_000047,F,24,Low,Farmer,79.82951789667752
CUST_000048,M,25,Very High,Farmer,88.66171489506598
CUST_000049,Other,45,Medium,Employee,43.847412301808696
CUST_000050,Other,39,High,Business,15.50416167277442
CUST_000051,F,39,Medium,Employee,3.050024993904943
CUST_000052,F,23,High,Self-Employed,12.706051265188478
CUST_000053,M,25,Low,Farmer,21.582102749684317
CUST_000054,M,56,Very High,Student,19.438003399487304
CUST_000055,F,64,High,Farmer,13.274542224296981
CUST_000056,F,59,Medium,Self-Employed,79.51861947687037
CUST_000057,Other,36,Very High,Employee,7.845638134226595
CUST_000058,M,43,Low,Business,68.84999007653664
CUST_000059,M,18,High,Employee,23.978735915740323
CUST_000060,F,65,Low,Student,27.993389694594285
CUST_000061,M,56,Very High,Student,61.17207462343522
CUST_000062,Other,20,Very High,Employee,35.597267865126156
CUST_000063,M,39,Low,Student,11.607264050691624
CUST_000064,M,64,Low,Farmer,17.53302698893385
CUST_000065,F,43,Very High,Student,47.34717707805657
CUST_000066,M,47,Low,Employee,61.585009805221645
CUST_000067,M,53,Medium,Farmer,37.46126146264712
CUST_000068,F,36,Medium,Business,53.93774484000625
CUST_000069,M,21,Very High,Employee,2.6511310541621813
CUST_000070,Other,37,Very High,Farmer,38.816992620652194
CUST_000071,M,50,Low,Self-Employed,82.06394757439554
CUST_000072,Other,18,Low,Employee,20.66843598767454
CUST_000073,M,30,Very High,Employee,3.896313231023363
CUST_000074,F,52,High,Business,65.57226353807421
CUST_000075,M,43,Medium,Employee,34.062456946424
CUST_000076,Other,58,High,Farmer,69.28903586919394
CUST_000077,F,62,High,Student,3.9186326675646255
CUST_000078,M,38,Low,Business,54.79718832480873
CUST_000079,M,26,Very High,Self-Employed,99.05051420006733
CUST_000080,F,66,High,Student,23.85968597903402
CUST_000081,Other,30,High,Business,23.823615240397945
CUST_000082,F,34,Low,Farmer,82.64574661077417
CUST_000083,F,30,High,Self-Employed,38.92016787341631
CUST_000084,M,58,High,Farmer,35.49051904627206
CUST_000085,F,48,Very High,Farmer,57.34378881232861
CUST_000086,Other,33,Low,Student,29.321077169806454
CUST_000087,M,69,High,Student,75.237452943768
CUST_000088,Other,33,Low,Student,93.09291056872925
CUST_000089,F,56,Medium,Employee,44.1530501373377
