portfolio_id,portfolio_name,region,branch_id,total_exposure,created_at
1,Portfolio_1,Central,1,2759210.8074754174,2026-03-09T17:09:49.330414
2,Portfolio_2,Central,1,1551740.1779500037,2025-06-22T17:09:49.330414
3,Portfolio_3,East,2,465298.15403087705,2025-05-27T17:09:49.330414
4,Portfolio_4,East,2,2174667.2554612113,2025-12-11T17:09:49.330414
5,Portfolio_5,Central,3,1073706.8395174448,2026-02-15T17:09:49.330414
6,Portfolio_6,Central,3,4095760.999428687,2026-01-28T17:09:49.330414
7,Portfolio_7,West,4,3585575.568468385,2025-07-04T17:09:49.330414
8,Portfolio_8,West,4,3069203.8764269557,2025-08-31T17:09:49.330414
9,Portfolio_9,West,5,3290277.424959528,2026-03-22T17:09:49.330414
10,Portfolio_10,West,5,4329206.786790408,2025-05-26T17:09:49.330414
11,Portfolio_11,West,6,2302308.303277197,2026-03-17T17:09:49.330414
12,Portfolio_12,West,6,411435.91640151583,2026-02-16T17:09:49.330414
13,Portfolio_13,West,7,1693398.2779310604,2026-01-10T17:09:49.330414
14,Portfolio_14,West,7,2997359.159767863,2025-09-17T17:09:49.330414
15,Portfolio_15,East,8,4447342.438624,2025-09-04T17:09:49.330414
16,Portfolio_16,East,8,686011.8050976783,2025-12-09T17:09:49.330414
17,Portfolio_17,North,9,3827846.7382227974,2025-09-13T17:09:49.330414
18,Portfolio_18,North,9,1256326.106769883,2025-07-10T17:09:49.330414
19,Portfolio_19,Central,10,2661390.8639717707,2026-04-04T17:09:49.330414
20,Portfolio_20,Central,10,643365.0219779735,2025-10-22T17:09:49.330414
